"chemical","cas"
"135410-20-7","II"
"136191-56-5","U"
"136849-15-5","U"
"138164-12-2","II"
"138261-41-3","II"
"139528-85-1","U"
"139968-49-3","U"
"140923-17-7","U"
"141112-29-0","III"
"141517-21-7","U"
"142459-58-3","II"
"143390-89-0","III"
"144740-54-5","U"
"145701-21-9","U"
"145701-23-1","U"
"148477-71-8","III"
"149253-65-6","U"
"149877-41-8","U"
"150114-71-9","U"
"150824-47-8","II"
"153233-91-1","III"
"153719-23-4","II"
"155569-91-8","II"
"156052-68-5","U"
"158062-67-0","II"
"161050-58-4","U"
"161326-34-7","III"
"165252-70-0","III"
"168316-95-8","III"
"173584-44-6","II"
"173662-97-0","III"
"178928-70-6","U"
"181274-17-9","U"
"181587-01-9","U"
"183675-82-3","III"
"187166-40-1","U"
"188425-85-6","U"
"203313-25-1","III"
"210880-92-5","II"
"219714-96-2","U"
"220899-03-6","U"
"239110-15-7","U"
"240494-70-6","III"
"240494-71-7","II"
"243973-20-8","III"
"260359-57-7","II"
"272451-65-7","III"
"318290-98-1","II"
"330459-31-9","U"
"348635-87-0","U"
"352010-68-5","U"
"372137-35-4","III"
"374726-62-2","U"
"400882-07-7","III"
"422556-08-9","III"
"473798-59-3","III"
"500008-45-7","U"
"517875-34-2","III"
"658066-35-4","III"
"688046-61-9","III"
"736994-63-1","U"
"858956-08-8","U"
"865318-97-4","III"
"874967-67-6","U"
"881685-58-1","II"
"907204-31-3","III"
"946578-00-3","II"
"951659-40-8","II"
"958647-10-4","III"
"1031756-98-5","III"
"1072957-71-1","II"
"1228284-64-7","U"
"1263133-33-0","III"
"1315501-18-8","II"
"1820573-27-0","Ib"
